Ms. Pacman Rolling Horizon Agent Test Run.
Chromosome Size: 10
Population Size: 20
Computational Budget: 40
Mutation Rate: 50

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.09720559			0.0873469598142818
1			0.12061592			0.08210727597320333
2			0.15473814			0.08897599695769369
3			0.16804485			0.08004113831814016

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.26946107			0.11333388717015831
1			0.32991156			0.051008107484387256
2			0.3688813			0.022612646345795923
3			0.36888126			0.04504513932793258
4			0.3888413			0.00969302940373888
5			0.3954947			0.009017042657146496
6			0.39929658			0.005859150857413238

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.065768465			0.07466370441933265
1			0.114152655			0.07705338574009651
2			0.15787473			0.047161436615866414
3			0.13686913			0.07583971533419386
4			0.13392264			0.07539396859201117
5			0.17783482			0.06565883351848414
6			0.18829012			0.06700716143271003
7			0.18810003			0.08269056112382037
8			0.22155692			0.0805500331771964
9			0.265184			0.08077179420383174

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.015668662			0.021748933681963824
1			0.036498435			0.03493295394075243
2			0.042581506			0.03490138556099591
3			0.045528002			0.032633175971523244
4			0.05132593			0.032519758785013106
5			0.04837944			0.030681225694702403
6			0.06548806			0.06229220993339075
7			0.08554319			0.06549214115366433
8			0.09989544			0.05937266980480039
9			0.1255584			0.05285215911049191
10			0.13601367			0.061642119814995684
11			0.18543866			0.02728390317714154
12			0.17869027			0.04738503870722818
13			0.18733963			0.025504058306774328
14			0.19009602			0.05956864159226172
15			0.2015018			0.06775929141203736

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.05768463			0.08343194147857626
1			0.08573331			0.09005657158200585
2			0.16614391			0.10222119608441944
3			0.19941069			0.10559889040410514
4			0.26508892			0.08825236160101053
5			0.30139726			0.01742258230567585
6			0.24303778			0.1211400943180123
7			0.3137535			0.017933617686513484
8			0.24199222			0.13739548498629625
9			0.3165098			0.07301023311388274
10			0.28790036			0.10420996441620242
11			0.25919586			0.13097145490417658
12			0.25738996			0.11044373081243375

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.3163673			0.2337865595097989
1			0.40404907			0.22407551220894156
2			0.590343			0.025855860480320483
3			0.59984785			0.03563981808894981
4			0.61030304			0.04160453294393377
5			0.62456024			0.017002694126395
6			0.6283622			0.02343660591327469
7			0.64452034			0.03571578474629476
8			0.661629			0.05171168944331816
9			0.69014347			0.025855842470420953
10			0.7005988			0.0
11			0.7005988			0.0
12			0.7005988			0.0
13			0.6815891			0.08501351856008668
14			0.7005988			0.0
15			0.7005988			0.0

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.099700585			0.05934381811234481
1			0.12555839			0.0495162705016441
2			0.14836992			0.03960206245274975
3			0.17023097			0.020027859630194156
4			0.18543865			0.04021328435804473
5			0.1930425			0.050258735931703435
6			0.19019106			0.0483345019153688
7			0.20825016			0.04326511314844612
8			0.22725977			0.03599295257558805
9			0.24341795			0.022969386694478476
10			0.25197226			0.019104412184182483
11			0.2538732			0.03455880096015974
12			0.26242748			0.004250676527105519
13			0.26242748			0.004250676527105519
14			0.24626935			0.04034785371355924
15			0.26052654			0.009693032781609946
16			0.26242748			0.004250676527105519
17			0.2567246			0.023781000209485256

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.13173652			0.07587456758287943
1			0.19209202			0.05285215690783215
2			0.24151698			0.02954143236197359
3			0.2233628			0.08602132556173853
4			0.26337802			0.03690996834843066
5			0.25672466			0.06602929216471135
6			0.28523904			0.06652002195347198
7			0.3317175			0.08889706601909418
8			0.3679308			0.0291101505421431
9			0.38123754			0.0
10			0.36308336			0.08118792578950429
11			0.38123754			0.0
12			0.38123754			0.0

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.05469062			0.053489294936226936
1			0.06149606			0.056862853500073904
2			0.07974528			0.052156846747147254
3			0.09894496			0.04782718894064932
4			0.084022425			0.07136061095747512
5			0.12346734			0.05231595716010966
6			0.12993062			0.06780248714722266
7			0.1356335			0.07689776014370533
8			0.15093622			0.06800244334815217

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.03393214			0.029199079366498
1			0.045718096			0.027283904243844852
2			0.04952001			0.03344285023914426
3			0.066628635			0.028163731913008624
4			0.074232474			0.025750816012344257
5			0.088489674			0.024120475301652147
6			0.09039063			0.02351357734080365
7			0.09039064			0.02351357486531202
8			0.09609352			0.017577452779208202
9			0.087539196			0.025504051459902973
10			0.090390645			0.02351357115207408

Evaluation of Next Generation: 
Generation	Average Fitness		Standard Deviation
0			0.06087824			0.043946185368240326
1			0.09989543			0.02034116127639162
2			0.10464783			0.012752024018233304
3			0.10274688			0.03400540879340888
4			0.105598316			0.02728390744395454
5			0.10749927			0.025504044613029783
6			0.10464784			0.029079101722700118
7			0.106548786			0.027481867023294738
8			0.11320216			0.036738230605346554
9			0.119855516			0.034243666850377406
10			0.1407661			0.06081586735773503
11			0.18829009			0.04704635809934633
12			0.2063492			0.05038441751008422
13			0.22155687			1.4901161193847656E-8
14			0.22155687			1.4901161193847656E-8

